47.916µs | rug::Integer::is_probably_prime() = Yes | fermat(0) = 3

208ns | rug::Integer::is_probably_prime() = Yes | fermat(1) = 5

416ns | rug::Integer::is_probably_prime() = Yes | fermat(2) = 17

208ns | rug::Integer::is_probably_prime() = Yes | fermat(3) = 257

333ns | rug::Integer::is_probably_prime() = Yes | fermat(4) = 65537

35.416µs | rug::Integer::is_probably_prime() = No | fermat(5) = 4294967297

26.625µs | rug::Integer::is_probably_prime() = No | fermat(6) = 18446744073709551617

30.125µs | rug::Integer::is_probably_prime() = No | fermat(7) = 340282366920938463463374607431768211457

90.166µs | rug::Integer::is_probably_prime() = No | fermat(8) = 115792089237316195423570985008687907853269984665640564039457584007913129639937

323µs | rug::Integer::is_probably_prime() = No | fermat(9) = 13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084097

1.534ms | rug::Integer::is_probably_prime() = No | fermat(10) = 179769313486231590772930519078902473361797697894230657273430081157732675805500963132708477322407536021120113879871393357658789768814416622492847430639474124377767893424865485276302219601246094119453082952085005768838150682342462881473913110540827237163350510684586298239947245938479716304835356329624224137217

8.402875ms | rug::Integer::is_probably_prime() = No | fermat(11) = 32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230657

